,-10,-9.798,-9.596,-9.3939,-9.1919,-8.9899,-8.7879,-8.5859,-8.3838,-8.1818,-7.9798,-7.7778,-7.5758,-7.3737,-7.1717,-6.9697,-6.7677,-6.5657,-6.3636,-6.1616,-5.9596,-5.7576,-5.5556,-5.3535,-5.1515,-4.9495,-4.7475,-4.5455,-4.3434,-4.1414,-3.9394,-3.7374,-3.5354,-3.3333,-3.1313,-2.9293,-2.7273,-2.5253,-2.3232,-2.1212,-1.9192,-1.7172,-1.5152,-1.3131,-1.1111,-0.90909,-0.70707,-0.50505,-0.30303,-0.10101,0.10101,0.30303,0.50505,0.70707,0.90909,1.1111,1.3131,1.5152,1.7172,1.9192,2.1212,2.3232,2.5253,2.7273,2.9293,3.1313,3.3333,3.5354,3.7374,3.9394,4.1414,4.3434,4.5455,4.7475,4.9495,5.1515,5.3535,5.5556,5.7576,5.9596,6.1616,6.3636,6.5657,6.7677,6.9697,7.1717,7.3737,7.5758,7.7778,7.9798,8.1818,8.3838,8.5859,8.7879,8.9899,9.1919,9.3939,9.596,9.798,10
-8.1818,1024.8,998.88,973.29,948.03,923.09,898.48,874.2,850.24,826.61,803.31,780.33,757.68,735.35,713.36,691.68,670.34,649.32,628.63,608.26,588.23,568.51,549.13,530.07,511.34,492.93,474.85,457.1,439.67,422.57,405.8,389.35,373.23,357.43,341.97,326.82,312.01,297.52,283.36,269.52,256.01,242.83,229.98,217.45,205.24,193.37,181.82,170.59,159.7,149.13,138.88,128.97,119.38,110.11,101.17,92.562,84.277,76.319,68.687,61.381,54.403,47.75,41.424,35.425,29.752,24.406,19.386,14.692,10.325,6.2851,2.5712,-0.81624,-3.8772,-6.6116,-9.0195,-11.101,-12.856,-14.284,-15.386,-16.162,-16.611,-16.733,-16.529,-15.998,-15.141,-13.958,-12.448,-10.611,-8.4481,-5.9586,-3.1425,5.6843e-14,3.469,7.2646,11.387,15.835,20.61,25.712,31.14,36.894,42.975
-7.9798,1006.1,980.47,955.13,930.11,905.42,881.05,857.01,833.3,809.92,786.86,764.13,741.72,719.64,697.89,676.46,655.36,634.59,614.14,594.02,574.23,554.76,535.62,516.8,498.32,480.16,462.32,444.81,427.63,410.77,394.25,378.04,362.17,346.62,331.39,316.5,301.93,287.68,273.77,260.18,246.91,233.98,221.37,209.08,197.12,185.49,174.19,163.21,152.56,142.23,132.23,122.56,113.21,104.19,95.5,87.134,79.094,71.38,63.993,56.933,50.199,43.791,37.71,31.956,26.528,21.426,16.651,12.203,8.0808,4.2853,0.81624,-2.3263,-5.1423,-7.6319,-9.7949,-11.631,-13.142,-14.325,-15.182,-15.713,-15.917,-15.794,-15.345,-14.57,-13.468,-12.04,-10.285,-8.2032,-5.7953,-3.0609,0,3.3874,7.1013,11.142,15.509,20.202,25.222,30.568,36.241,42.241,48.566
-7.7778,987.65,962.23,937.13,912.36,887.91,863.79,840,816.53,793.39,770.57,748.09,725.93,704.09,682.58,661.4,640.55,620.02,599.82,579.94,560.39,541.17,522.27,503.7,485.46,467.54,449.95,432.69,415.75,399.14,382.86,366.9,351.27,335.97,320.99,306.34,292.01,278.01,264.34,250.99,237.98,225.28,212.92,200.88,189.16,177.78,166.72,155.98,145.58,135.5,125.74,116.31,107.21,98.439,89.991,81.869,74.074,66.605,59.463,52.648,46.159,39.996,34.16,28.65,23.467,18.61,14.08,9.8765,5.9994,2.4487,-0.77543,-3.6731,-6.2443,-8.4889,-10.407,-11.999,-13.264,-14.203,-14.815,-15.1,-15.06,-14.692,-13.999,-12.978,-11.631,-9.9582,-7.9584,-5.6321,-2.9793,0,3.3058,6.9381,10.897,15.182,19.794,24.732,29.997,35.588,41.506,47.75,54.321
-7.5758,969.33,944.15,919.29,894.77,870.56,846.69,823.14,799.92,777.02,754.45,732.21,710.29,688.71,667.44,646.51,625.9,605.61,585.65,566.02,546.72,527.74,509.09,490.77,472.77,455.1,437.75,420.73,404.04,387.67,371.64,355.92,340.54,325.48,310.74,296.34,282.26,268.5,255.08,241.98,229.2,216.75,204.63,192.84,181.37,170.23,159.41,148.92,138.76,128.93,119.42,110.23,101.38,92.848,84.644,76.768,69.217,61.994,55.096,48.526,42.281,36.364,30.772,25.508,20.569,15.958,11.672,7.7135,4.0812,0.77543,-2.2039,-4.8566,-7.1829,-9.1827,-10.856,-12.203,-13.223,-13.917,-14.284,-14.325,-14.039,-13.427,-12.489,-11.223,-9.6317,-7.7135,-5.4688,-2.8977,0,3.2242,6.7748,10.652,14.856,19.386,24.242,29.426,34.935,40.771,46.934,53.423,60.239
-7.3737,951.17,926.23,901.62,877.34,853.38,829.75,806.45,783.47,760.82,738.5,716.5,694.83,673.48,652.46,631.77,611.41,591.37,571.66,552.27,533.21,514.48,496.07,477.99,460.24,442.81,425.71,408.94,392.49,376.37,360.58,345.11,329.97,315.15,300.66,286.5,272.67,259.16,245.97,233.12,220.59,208.39,196.51,184.96,173.74,162.84,152.27,142.03,132.11,122.52,113.25,104.32,95.705,87.42,79.461,71.829,64.524,57.545,50.893,44.567,38.567,32.895,27.548,22.528,17.835,13.468,9.4276,5.7137,2.3263,-0.73462,-3.469,-5.877,-7.9584,-9.7133,-11.142,-12.244,-13.019,-13.468,-13.59,-13.386,-12.856,-11.999,-10.815,-9.3052,-7.4686,-5.3056,-2.816,0,3.1425,6.6116,10.407,14.529,18.978,23.753,28.854,34.282,40.037,46.118,52.525,59.259,66.32
-7.1717,933.17,908.48,884.11,860.08,836.36,812.98,789.92,767.19,744.78,722.7,700.95,679.52,658.42,637.65,617.2,597.08,577.29,557.82,538.68,519.87,501.38,483.22,465.38,447.87,430.69,413.84,397.31,381.1,365.23,349.68,334.46,319.56,304.99,290.75,276.83,263.24,249.97,237.04,224.43,212.14,200.18,188.55,177.25,166.27,155.62,145.29,135.29,125.62,116.27,107.25,98.561,90.195,82.155,74.441,67.054,59.994,53.26,46.852,40.771,35.017,29.589,24.487,19.712,15.264,11.142,7.3462,3.8772,0.73462,-2.0814,-4.571,-6.734,-8.5706,-10.081,-11.264,-12.121,-12.652,-12.856,-12.733,-12.284,-11.509,-10.407,-8.9787,-7.2238,-5.1423,-2.7344,0,3.0609,6.4483,10.162,14.203,18.57,23.263,28.283,33.629,39.302,45.301,51.627,58.28,65.259,72.564
-6.9697,915.34,890.89,866.77,842.98,819.51,796.37,773.55,751.07,728.91,707.07,685.56,664.38,643.53,623,602.8,582.92,563.37,544.15,525.25,506.68,488.44,470.52,452.93,435.67,418.73,402.12,385.84,369.88,354.25,338.95,323.97,309.32,294.99,280.99,267.32,253.97,240.96,228.26,215.9,203.86,192.14,180.76,169.7,158.96,148.56,138.48,128.72,119.29,110.19,101.42,92.97,84.848,77.053,69.585,62.443,55.627,49.138,42.975,37.139,31.629,26.446,21.59,17.059,12.856,8.9787,5.428,2.2039,-0.69381,-3.265,-5.5096,-7.4278,-9.0195,-10.285,-11.223,-11.836,-12.121,-12.08,-11.713,-11.019,-9.999,-8.6522,-6.9789,-4.9791,-2.6528,-5.6843e-14,2.9793,6.2851,9.9174,13.876,18.161,22.773,27.711,32.976,38.567,44.485,50.73,57.3,64.198,71.421,78.972
-6.7677,897.66,873.46,849.59,826.04,802.82,779.92,757.35,735.11,713.19,691.6,670.34,649.4,628.79,608.51,588.55,568.92,549.62,530.64,511.99,493.66,475.67,457.99,440.65,423.63,406.94,390.57,374.53,358.82,343.43,328.37,313.64,299.23,285.15,271.4,257.97,244.87,232.1,219.65,207.53,195.74,184.27,173.13,162.31,151.82,141.66,131.82,122.31,113.13,104.28,95.745,87.542,79.665,72.115,64.891,57.994,51.423,45.179,39.261,33.67,28.405,23.467,18.855,14.57,10.611,6.9789,3.6731,0.69381,-1.959,-4.2853,-6.2851,-7.9584,-9.3052,-10.325,-11.019,-11.387,-11.427,-11.142,-10.53,-9.5909,-8.3257,-6.734,-4.8158,-2.5712,0,2.8977,6.1218,9.6725,13.55,17.753,22.283,27.14,32.323,37.833,43.669,49.832,56.321,63.136,70.279,77.747,85.542
-6.5657,880.16,856.2,832.57,809.26,786.29,763.64,741.31,719.31,697.64,676.3,655.28,634.59,614.22,594.18,574.47,555.09,536.03,517.29,498.89,480.81,463.05,445.63,428.53,411.75,395.31,379.19,363.39,347.92,332.78,317.97,303.48,289.32,275.48,261.97,248.79,235.94,223.41,211.2,199.33,187.78,176.55,165.66,155.09,144.84,134.93,125.33,116.07,107.13,98.521,90.236,82.277,74.645,67.34,60.361,53.709,47.383,41.384,35.711,30.364,25.344,20.651,16.284,12.244,8.5297,5.1423,2.0814,-0.65299,-3.0609,-5.1423,-6.8973,-8.3257,-9.4276,-10.203,-10.652,-10.774,-10.57,-10.04,-9.1827,-7.9992,-6.4891,-4.6526,-2.4895,0,2.816,5.9586,9.4276,13.223,17.345,21.794,26.569,31.67,37.098,42.853,48.934,55.341,62.075,69.136,76.523,84.236,92.276
-6.3636,862.81,839.1,815.71,792.65,769.92,747.52,725.44,703.68,682.26,661.16,640.38,619.94,599.82,580.02,560.56,541.41,522.6,504.11,485.95,468.12,450.61,433.43,416.57,400.04,383.84,367.96,352.41,337.19,322.29,307.72,293.48,279.56,265.97,252.71,239.77,227.16,214.88,202.92,191.29,179.98,169,158.35,148.03,138.03,128.35,119.01,109.99,101.3,92.929,84.889,77.176,69.789,62.728,55.994,49.587,43.506,37.751,32.323,27.222,22.447,17.998,13.876,10.081,6.6116,3.469,0.65299,-1.8365,-3.9996,-5.8361,-7.3462,-8.5297,-9.3868,-9.9174,-10.121,-9.999,-9.55,-8.7746,-7.6727,-6.2443,-4.4893,-2.4079,0,2.7344,5.7953,9.1827,12.897,16.937,21.304,25.997,31.017,36.364,42.037,48.036,54.362,61.014,67.993,75.298,82.93,90.889,99.174
