,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
21,1855.9,1776.3,1698.8,1623.3,1549.8,1478.4,1409.1,1341.7,1276.4,1213.2,1152,1092.8,1035.7,980.58,927.53,876.53,827.56,780.63,735.75,692.9,652.1,613.34,576.61,541.93,509.29,478.69,450.13,423.61,399.13,376.69,356.29,337.93,321.62,307.34,295.11,284.91,276.76,270.64,266.57,264.54,264.55,266.59,270.68,276.81,284.98,295.19,307.45,321.74,338.07,356.45,376.86,399.31,423.81,450.35,478.92,509.54,542.2,576.9,613.63,652.41,693.23,736.1,781,827.94,876.92,927.94,981.01,1036.1,1093.3,1152.4,1213.7,1276.9,1342.2,1409.6,1479,1550.4,1623.9,1699.4,1776.9,1856.5,1938.2,2021.8,2107.6,2195.3,2285.1,2376.9,2470.8,2566.7,2664.7,2764.7,2866.7,2970.8,3076.9,3185.1,3295.3,3407.5,3521.8,3638.1,3756.5,3876.9
22,1843,1764.5,1688,1613.5,1541.1,1470.7,1402.3,1336,1271.7,1209.5,1149.3,1091.2,1035.1,980.98,928.96,878.97,831.02,785.12,741.25,699.43,659.64,621.9,586.2,552.54,520.91,491.33,463.79,438.29,414.83,393.42,374.04,356.7,341.4,328.15,316.93,307.76,300.62,295.53,292.48,291.47,292.49,295.56,300.67,307.82,317.01,328.24,341.52,356.83,374.18,393.58,415.01,438.48,464,491.56,521.15,552.79,586.47,622.19,659.95,699.75,741.59,785.47,831.39,879.35,929.35,981.4,1035.5,1091.6,1149.8,1210,1272.2,1336.5,1402.8,1471.2,1541.6,1614.1,1688.6,1765.1,1843.7,1924.3,2006.9,2091.6,2178.3,2267.1,2357.9,2450.8,2545.7,2642.6,2741.6,2842.6,2945.7,3050.8,3157.9,3267.1,3378.3,3491.6,3606.9,3724.2,3843.6,3965
23,1832,1754.5,1679,1605.5,1534.1,1464.7,1397.4,1332.1,1268.9,1207.7,1148.5,1091.4,1036.3,983.22,932.22,883.25,836.32,791.44,748.59,707.79,669.03,632.3,597.62,564.98,534.38,505.82,479.3,454.82,432.38,411.98,393.62,377.31,363.03,350.79,340.6,332.44,326.33,322.26,320.22,320.23,322.28,326.37,332.5,340.67,350.88,363.13,377.42,393.76,412.13,432.54,455,479.49,506.03,534.6,565.22,597.88,632.58,669.32,708.1,748.92,791.78,836.68,883.62,932.6,983.62,1036.7,1091.8,1148.9,1208.1,1269.3,1332.6,1397.9,1465.3,1534.7,1606.1,1679.6,1755.1,1832.6,1912.2,1993.8,2077.5,2163.2,2251,2340.8,2432.6,2526.5,2622.4,2720.4,2820.4,2922.4,3026.5,3132.6,3240.8,3351,3463.2,3577.5,3693.8,3812.2,3932.6,4055
24,1822.8,1746.3,1671.8,1599.4,1529,1460.7,1394.3,1330.1,1267.8,1207.7,1149.5,1093.4,1039.3,987.3,937.31,889.37,843.46,799.6,757.77,717.99,680.24,644.54,610.88,579.26,549.68,522.14,496.64,473.18,451.76,432.38,415.04,399.75,386.49,375.27,366.1,358.96,353.87,350.82,349.81,350.83,353.9,359.01,366.16,375.35,386.58,399.85,415.17,432.52,451.91,473.35,496.82,522.34,549.89,579.49,611.13,644.8,680.52,718.28,758.08,799.92,843.8,889.72,937.69,987.69,1039.7,1093.8,1149.9,1208.1,1268.3,1330.6,1394.8,1461.2,1529.5,1599.9,1672.4,1746.9,1823.4,1902,1982.6,2065.3,2149.9,2236.7,2325.5,2416.3,2509.1,2604,2701,2799.9,2901,3004,3109.1,3216.3,3325.4,3436.7,3549.9,3665.2,3782.6,3901.9,4023.4,4146.8
25,1815.5,1740,1666.5,1595.1,1525.7,1458.4,1393.1,1329.9,1268.7,1209.5,1152.4,1097.3,1044.2,993.22,944.25,897.32,852.44,809.59,768.79,730.02,693.3,658.62,625.97,595.37,566.81,540.29,515.81,493.37,472.98,454.62,438.3,424.02,411.79,401.59,393.44,387.32,383.25,381.22,381.22,383.27,387.36,393.49,401.66,411.87,424.12,438.41,454.75,473.12,493.53,515.99,540.48,567.02,595.6,626.21,658.87,693.57,730.31,769.09,809.9,852.77,897.67,944.61,993.59,1044.6,1097.7,1152.8,1209.9,1269.1,1330.3,1393.6,1458.9,1526.3,1595.6,1667.1,1740.5,1816.1,1893.6,1973.2,2054.8,2138.5,2224.2,2312,2401.8,2493.6,2587.5,2683.4,2781.3,2881.3,2983.4,3087.5,3193.6,3301.7,3411.9,3524.2,3638.5,3754.8,3873.1,3993.6,4116,4240.5
26,1810,1735.5,1663.1,1592.7,1524.3,1458,1393.7,1331.5,1271.3,1213.2,1157.1,1103,1051,1001,953.02,907.11,863.25,821.42,781.64,743.89,708.19,674.53,642.91,613.33,585.79,560.29,536.83,515.41,496.03,478.69,463.39,450.14,438.92,429.75,422.61,417.52,414.47,413.45,414.48,417.55,422.66,429.81,439,450.23,463.5,478.81,496.16,515.56,536.99,560.47,585.98,613.54,643.13,674.77,708.45,744.17,781.93,821.72,863.56,907.45,953.37,1001.3,1051.3,1103.4,1157.5,1213.6,1271.7,1332,1394.2,1458.5,1524.8,1593.2,1663.6,1736,1810.5,1887.1,1965.6,2046.2,2128.9,2213.6,2300.3,2389.1,2479.9,2572.8,2667.7,2764.6,2863.6,2964.6,3067.6,3172.7,3279.9,3389.1,3500.3,3613.5,3728.9,3846.2,3965.6,4087,4210.5,4336
27,1806.3,1732.8,1661.4,1592.1,1524.7,1459.4,1396.2,1335,1275.8,1218.7,1163.6,1110.5,1059.5,1010.6,963.63,918.74,875.9,835.09,796.33,759.6,724.92,692.28,661.68,633.12,606.6,582.12,559.68,539.28,520.92,504.6,490.33,478.09,467.89,459.74,453.62,449.55,447.52,447.52,449.57,453.66,459.79,467.96,478.17,490.42,504.71,521.05,539.42,559.83,582.29,606.78,633.32,661.89,692.51,725.17,759.86,796.6,835.38,876.2,919.06,963.96,1010.9,1059.9,1110.9,1164,1219.1,1276.2,1335.4,1396.6,1459.9,1525.2,1592.6,1661.9,1733.4,1806.8,1882.3,1959.9,2039.5,2121.1,2204.8,2290.5,2378.3,2468.1,2559.9,2653.8,2749.7,2847.6,2947.6,3049.7,3153.8,3259.9,3368,3478.2,3590.5,3704.8,3821.1,3939.4,4059.8,4182.3,4306.8,4433.3
28,1804.5,1732,1661.6,1593.3,1527,1462.7,1400.5,1340.3,1282.1,1226,1171.9,1119.9,1069.9,1022,976.07,932.21,890.38,850.6,812.85,777.15,743.49,711.86,682.28,654.74,629.24,605.78,584.36,564.99,547.65,532.35,519.09,507.88,498.7,491.57,486.47,483.42,482.41,483.43,486.5,491.61,498.76,507.95,519.18,532.45,547.76,565.12,584.51,605.94,629.42,654.93,682.49,712.09,743.72,777.4,813.12,850.88,890.68,932.51,976.4,1022.3,1070.3,1120.3,1172.3,1226.4,1282.5,1340.7,1400.9,1463.1,1527.4,1593.8,1662.1,1732.5,1805,1879.5,1956,2034.6,2115.2,2197.8,2282.5,2369.3,2458,2548.9,2641.7,2736.6,2833.5,2932.5,3033.5,3136.6,3241.7,3348.8,3458,3569.2,3682.5,3797.8,3915.1,4034.5,4155.9,4279.4,4404.9,4532.5
29,1804.5,1733,1663.7,1596.3,1531,1467.8,1406.6,1347.4,1290.3,1235.2,1182.1,1131.1,1082.2,1035.2,990.35,947.51,906.7,867.94,831.22,796.53,763.89,733.29,704.73,678.21,653.73,631.29,610.89,592.53,576.21,561.93,549.7,539.5,531.35,525.23,521.16,519.13,519.13,521.18,525.27,531.4,539.57,549.78,562.03,576.32,592.65,611.02,631.44,653.89,678.39,704.92,733.5,764.11,796.77,831.47,868.21,906.99,947.8,990.66,1035.6,1082.5,1131.5,1182.5,1235.6,1290.7,1347.8,1407,1468.2,1531.5,1596.8,1664.2,1733.5,1805,1878.4,1953.9,2031.5,2111.1,2192.7,2276.4,2362.1,2449.9,2539.7,2631.5,2725.4,2821.3,2919.2,3019.2,3121.3,3225.3,3331.5,3439.6,3549.8,3662.1,3776.3,3892.7,4011,4131.4,4253.9,4378.4,4504.9,4633.5
30,1806.3,1735.9,1667.5,1601.2,1537,1474.7,1414.5,1356.4,1300.3,1246.2,1194.2,1144.2,1096.2,1050.3,1006.5,964.65,924.86,887.12,851.41,817.75,786.13,756.55,729.01,703.51,680.05,658.63,639.25,621.91,606.61,593.36,582.14,572.96,565.83,560.73,557.68,556.67,557.69,560.76,565.87,573.02,582.21,593.44,606.71,622.02,639.38,658.77,680.2,703.68,729.19,756.75,786.34,817.98,851.66,887.37,925.13,964.93,1006.8,1050.7,1096.6,1144.5,1194.5,1246.6,1300.7,1356.8,1415,1475.2,1537.4,1601.7,1668,1736.4,1806.8,1879.2,1953.7,2030.3,2108.8,2189.4,2272.1,2356.8,2443.5,2532.3,2623.1,2716,2810.9,2907.8,3006.8,3107.8,3210.8,3315.9,3423.1,3532.3,3643.5,3756.7,3872,3989.4,4108.8,4230.2,4353.7,4479.2,4606.7,4736.3
